#swarm drones as of 21 May 2025
10.0.9.194 drone01.swarm.ics.uplb.edu.ph drone01 computeling01
10.0.9.193 drone02.swarm.ics.uplb.edu.ph drone02 computeling02
10.0.9.92  drone03.swarm.ics.uplb.edu.ph drone03 computeling03

10.0.9.96  drone04.swarm.ics.uplb.edu.ph drone04 computeling04
10.0.9.198 drone05.swarm.ics.uplb.edu.ph drone05 computeling05
10.0.9.97  drone06.swarm.ics.uplb.edu.ph drone06 computeling06

10.0.9.196 drone07.swarm.ics.uplb.edu.ph drone07 computeling07
10.0.9.101 drone08.swarm.ics.uplb.edu.ph drone08 computeling08
10.0.9.100 drone09.swarm.ics.uplb.edu.ph drone09 computeling09

10.0.9.93  drone10.swarm.ics.uplb.edu.ph drone10 computeling10
10.0.9.133 drone11.swarm.ics.uplb.edu.ph drone11 computeling11
10.0.9.134 drone12.swarm.ics.uplb.edu.ph drone12 computeling12

10.0.9.140 drone13.swarm.ics.uplb.edu.ph drone13 computeling13
10.0.9.139 drone14.swarm.ics.uplb.edu.ph drone14 computeling14
10.0.9.138 drone15.swarm.ics.uplb.edu.ph drone15 computeling15

10.0.9.142 drone16.swarm.ics.uplb.edu.ph drone16 computeling16
10.0.9.112 drone17.swarm.ics.uplb.edu.ph drone17 computeling17
10.0.9.144 drone18.swarm.ics.uplb.edu.ph drone18 computeling18

10.0.9.136 drone19.swarm.ics.uplb.edu.ph drone19 computeling19
10.0.9.199 drone20.swarm.ics.uplb.edu.ph drone20 computeling20
10.0.9.141 drone21.swarm.ics.uplb.edu.ph drone21 computeling21

10.0.9.135 drone22.swarm.ics.uplb.edu.ph drone22 computeling22
10.0.9.137 drone23.swarm.ics.uplb.edu.ph drone23 computeling23
10.0.9.195 drone24.swarm.ics.uplb.edu.ph drone24 computeling24

10.0.9.143 drone25.swarm.ics.uplb.edu.ph drone25 computeling25
10.0.9.145 drone26.swarm.ics.uplb.edu.ph drone26 computeling26
10.0.9.197 drone27.swarm.ics.uplb.edu.ph drone27 computeling27
